Name,RCB,2020_IFC,2021_IFC,2022_IFC,2023_IFC,2024_IFC,2020_AFC,2021_AFC,2022_AFC,2023_AFC,2024_AFC,2021 Importfixed charge Changes (%),2022 Importfixed charge Changes (%),2023 Importfixed charge Changes (%),2024 Importfixed charge Changes (%)
Manor Farm Horton PV,0,3.14,3.3,3.41,3.36,5.16,11.4924,12.045,12.4465,12.2976,18.834,5%,3%,-1%,53%
Handley Park Farm PV,0,14.08,14.78,15.31,15.05,9.78,51.5328,53.947,55.8815,55.083,35.697,5%,4%,-1%,-35%
Shelton Lodge PV,0,20.28,20.75,21.49,21.13,26.45,74.2248,75.7375,78.4385,77.3358,96.5425,2%,4%,-1%,25%
Holtwood Farm PV,0,15.42,16.21,16.78,16.5,15.19,56.4372,59.1665,61.247,60.39,55.4435,5%,4%,-1%,-8%
Drakelow Farm PV,0,8.42,8.85,9.17,9.01,6.46,30.8172,32.3025,33.4705,32.9766,23.579,5%,4%,-1%,-28%
Stragglethorpe Rd PV,0,4.81,5.03,5.21,5.12,3.15,17.6046,18.3595,19.0165,18.7392,11.4975,4%,4%,-1%,-39%
Oxcroft Solar Farm PV,0,503.49,532.05,551.01,541.72,538.36,1842.7734,1941.9825,2011.1865,1982.6952,1965.014,5%,4%,-1%,-1%
Littlewood Farm PV,0,3.29,3.43,3.55,3.49,1.53,12.0414,12.5195,12.9575,12.7734,5.5845,4%,3%,-1%,-56%
Twin Yards Farm PV,0,5.5,5.76,5.97,5.87,1.63,20.13,21.024,21.7905,21.4842,5.9495,4%,4%,-1%,-72%
Tower Hayes Farm PV,0,8.07,8.47,8.77,8.62,7.36,29.5362,30.9155,32.0105,31.5492,26.864,5%,4%,-1%,-15%
The Breck Solar PV,0,20.87,21.98,22.77,22.38,24.48,76.3842,80.227,83.1105,81.9108,89.352,5%,4%,-1%,9%
Lincoln Farm PV,0,6.11,6.41,6.64,6.53,5,22.3626,23.3965,24.236,23.8998,18.25,5%,4%,-1%,-24%
Drakelow Renewable BIO,0,6.23,6.5,6.73,92.45,31.42,22.8018,23.725,24.5645,338.367,114.683,4%,4%,1277%,-66%
Mill Fm Gt Ponton PV,0,19.39,20.46,21.19,20.83,24.14,70.9674,74.679,77.3435,76.2378,88.111,5%,4%,-1%,16%
Deepdale Solar Fm PV,0,7.66,8.03,8.32,8.18,7.02,28.0356,29.3095,30.368,29.9388,25.623,5%,4%,-1%,-14%
Burton Wolds South WF,0,10.18,10.71,11.09,9.57,0.93,37.2588,39.0915,40.4785,35.0262,3.3945,5%,4%,-13%,-90%
Gawcott Flds PV Commercial,0,4.48,4.69,5.75,5.65,0.95,16.3968,17.1185,20.9875,20.679,3.4675,4%,23%,-1%,-83%
Gawcott Flds PV Community,0,4.48,4.69,5.02,4.94,0.95,16.3968,17.1185,18.323,18.0804,3.4675,4%,7%,-1%,-81%
John Brookes Sawmill BIO,0,547.31,578.59,599.21,589.11,438.14,2003.1546,2111.8535,2187.1165,2156.1426,1599.211,5%,4%,-1%,-26%
Hawton Wind Farm WF,0,25.25,26.61,27.55,27.09,30.88,92.415,97.1265,100.5575,99.1494,112.712,5%,4%,-1%,14%
Garnham Close STOR,0,15.25,16.04,16.61,16.33,16.36,55.815,58.546,60.6265,59.7678,59.714,5%,4%,-1%,0%
Hermitage Lane STOR,0,5.59,5.84,6.05,5.95,2.02,20.4594,21.316,22.0825,21.777,7.373,4%,4%,-1%,-66%
Fosse Way Radford Sem PV,0,18.9,19.97,20.68,20.34,17.71,69.174,72.8905,75.482,74.4444,64.6415,5%,4%,-1%,-13%
Meadow Fm Thorpe Lang PV,0,21.67,22.86,23.67,23.27,7.87,79.3122,83.439,86.3955,85.1682,28.7255,5%,4%,-1%,-66%
Olney Hyde Farm PV,0,50.14,51.24,53.07,52.17,60.37,183.5124,187.026,193.7055,190.9422,220.3505,2%,4%,-1%,15%
Dayfields Farm PV,0,3.89,4.08,4.23,4.16,0.89,14.2374,14.892,15.4395,15.2256,3.2485,5%,4%,-1%,-79%
Bolsovermoor Quarry PV,0,6.56,6.87,7.12,7,5.94,24.0096,25.0755,25.988,25.62,21.681,4%,4%,-1%,-15%
Sutton Bonnington PV,0,4.61,4.81,4.99,4.9,3.99,16.8726,17.5565,18.2135,17.934,14.5635,4%,4%,-2%,-19%
Green Lane Marchington PV,0,6.23,4.88,5.05,6.62,6.45,22.8018,17.812,18.4325,24.2292,23.5425,-22%,3%,31%,-3%
Baddesley Park PV,0,125.81,30.65,28.58,5,5.76,460.4646,111.8725,104.317,18.3,21.024,-76%,-7%,-82%,15%
Taylor Lane 33kV STOR,0,10.08,10.55,10.93,10.74,3.18,36.8928,38.5075,39.8945,39.3084,11.607,4%,4%,-1%,-70%
Hill Farm ESS,0,201.36,210.3,217.8,214.13,72.77,736.9776,767.595,794.97,783.7158,265.6105,4%,4%,-1%,-66%
Leverton ESS,0,540.47,568.13,588.38,578.47,81.86,1978.1202,2073.6745,2147.587,2117.2002,298.789,5%,4%,-1%,-86%
