Name,RCB,2020_IFC,2021_IFC,2022_IFC,2023_IFC,2024_IFC,2020_AFC,2021_AFC,2022_AFC,2023_AFC,2024_AFC,2021 Importfixed charge Changes (%),2022 Importfixed charge Changes (%),2023 Importfixed charge Changes (%),2024 Importfixed charge Changes (%)
Mainline Pipelines,1,152.97,139.01,3879.54,915.13,2470.92,559.8702,507.3865,14160.321,3349.3758,9018.858,-9%,2691%,-76%,169%
Celsa 33 11,3,3501.04,3515.53,43036.36,22829.44,58776.98,12813.8064,12831.6845,157082.714,83555.7504,214535.977,0%,1124%,-47%,157%
Lafarge - Blue Circle,3,961.59,1101.53,40482.99,19921.65,55078.57,3519.4194,4020.5845,147762.9135,72913.239,201036.7805,14%,3575%,-51%,176%
Inco,2,1689.72,1842.41,17778.62,10949.27,26825.26,6184.3752,6724.7965,64891.963,40074.3282,97912.199,9%,865%,-38%,144%
Swansea University,1,3115.96,2930.87,6834.45,4207.7,6602.09,11404.4136,10697.6755,24945.7425,15400.182,24097.6285,-6%,133%,-38%,56%
DCWW Nantgaredig,2,1061.48,670.59,17013.74,10136.08,25795.04,3885.0168,2447.6535,62100.151,37098.0528,94151.896,-37%,2437%,-40%,154%
Bridgend Paper Mill,3,362.31,329.23,43400.6,23530.81,59480.36,1326.0546,1201.6895,158412.19,86122.7646,217103.314,-9%,13082%,-46%,152%
Momentive Chemicals,1,458.92,417.03,4175.53,1206.71,2813.46,1679.6472,1522.1595,15240.6845,4416.5586,10269.129,-9%,901%,-71%,133%
Monsanto,3,431.73,392.32,39732.22,19131.75,54123.17,1580.1318,1431.968,145022.603,70022.205,197549.5705,-9%,10028%,-52%,182%
Dow Corning,3,230.59,257.56,39566.82,19379.56,54418.82,843.9594,940.094,144418.893,70929.1896,198628.693,11%,15262%,-51%,180%
DCWW Rover Way,2,188.72,171.49,16484.2,9600.21,25166.8,690.7152,625.9385,60167.33,35136.7686,91858.82,-9%,9512%,-42%,161%
Simms metals,1,1014.25,1037.27,4832.33,1889.24,3618.91,3712.155,3786.0355,17638.0045,6914.6184,13209.0215,2%,366%,-61%,91%
Milford Energy,4,147.7,134.22,114785.18,71239.69,179112.89,540.582,489.903,418965.907,260737.2654,653762.0485,-9%,85420%,-38%,151%
