Name,RCB,2020_IFC,2021_IFC,2022_IFC,2023_IFC,2024_IFC,2020_AFC,2021_AFC,2022_AFC,2023_AFC,2024_AFC,2021 Importfixed charge Changes (%),2022 Importfixed charge Changes (%),2023 Importfixed charge Changes (%),2024 Importfixed charge Changes (%)
Avonmouth BCC WF 33kV Gen,1,21.25,18.28,19.22,1153.9,2602.88,77.775,66.722,70.153,4223.274,9500.512,-14%,5%,5920%,125%
Bodiniel PV Park 33kV Gen,0,4.25,3.53,3.71,3.83,4.31,15.555,12.8845,13.5415,14.0178,15.7315,-17%,5%,4%,12%
Garlenick WF 33kV,0,70.38,65.9,69.12,76.68,90.35,257.5908,240.535,252.288,280.6488,329.7775,-7%,5%,11%,18%
Warleigh Barton PV 33kV Gen,0,6.19,5.45,6.7,6.15,6.89,22.6554,19.8925,24.455,22.509,25.1485,-12%,23%,-8%,12%
Winnards Perch PV 33kV Gen,0,15.04,12.91,13.57,14.32,16.33,55.0464,47.1215,49.5305,52.4112,59.6045,-14%,5%,6%,14%
Galsworthy WF,0,89.37,91.83,96.56,97.71,107.97,327.0942,335.1795,352.444,357.6186,394.0905,2%,5%,1%,10%
Airbus UK Ltd,4,565.16,524.58,14274.32,12370.4,42531.12,2068.4856,1914.717,52101.268,45275.664,155238.588,-7%,2621%,-13%,243%
RR Power Development,2,912.66,896.42,14417.88,10160.91,19730.98,3340.3356,3271.933,52625.262,37188.9306,72018.077,-2%,1508%,-29%,94%
Langage,1,771.7,648.88,5118.55,1844.99,3383.26,2824.422,2368.412,18682.7075,6752.6634,12348.899,-16%,689%,-64%,83%
Imerys5(Drinnick),3,169.49,150.27,13864.84,11496.48,41597.12,620.3334,548.4855,50606.666,42077.1168,151829.488,-12%,9127%,-17%,261%
Imerys4(Bugle),2,130.69,283.55,13781.01,9554.8,18898.09,478.3254,1034.9575,50300.6865,34970.568,68978.0285,116%,4760%,-30%,97%
Imerys3(Trebal),2,600.14,637.97,14150.38,11144.23,20647.26,2196.5124,2328.5905,51648.887,40787.8818,75362.499,6%,2118%,-21%,85%
Imerys6(Par),2,96.71,85.74,13595.81,9370.53,18709.23,353.9586,312.951,49624.7065,34296.1398,68288.6895,-12%,15757%,-31%,99%
DML - North,3,7740.79,7259.06,21332.94,19472.43,51981.86,28331.2914,26495.569,77865.231,71269.0938,189733.789,-6%,194%,-8%,166%
Marley Thatch PV,0,4.2,3.62,4.6,4.03,4.44,15.372,13.213,16.79,14.7498,16.206,-14%,27%,-12%,10%
Bristol Royal Infirmary,2,490.1,454.91,14001.46,9490.78,18827.58,1793.766,1660.4215,51105.329,34736.2548,68720.667,-7%,2978%,-32%,98%
